model,val_roc_auc,train_roc_auc,val_accuracy,train_accuracy,val_f1_score,train_f1_score,features,preprocessing,C,class_weight,dual,fit_intercept,intercept_scaling,l1_ratio,max_iter,multi_class,n_jobs,penalty,random_state,solver,tol,verbose,warm_start,ccp_alpha,criterion,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_impurity_split,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,presort,splitter,bootstrap,max_samples,n_estimators,oob_score,algorithm,leaf_size,metric,metric_params,n_neighbors,p,weights,break_ties,cache_size,coef0,decision_function_shape,degree,gamma,kernel,probability,shrinking,alpha,average,early_stopping,epsilon,eta0,learning_rate,loss,n_iter_no_change,power_t,shuffle,validation_fraction,base_estimator,objective,use_label_encoder,base_score,booster,colsample_bylevel,colsample_bynode,colsample_bytree,gpu_id,importance_type,interaction_constraints,max_delta_step,min_child_weight,missing,monotone_constraints,num_parallel_tree,reg_alpha,reg_lambda,scale_pos_weight,subsample,tree_method,validate_parameters,verbosity,eval_metric,class_prior,fit_prior,priors,var_smoothing,seed
RandomForestClassifier,0.9225086704097784,0.9999978503116252,,,,,,,,balanced_subsample,,,,,,,,,,,,,,,,32.0,sqrt,,,,,,,,,,0.9855121275527422,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.9221000173036644,0.9895886611103856,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05012177822019997,,,,,,,binary:logistic,,,,,,0.5792177815144564,,,,,10.0,,,,,,1.9140605666635304,0.5540602935895383,,,,error,,,,,
XGBClassifier,0.9219527371106278,0.9999095538520824,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298546450331627,,,,,,,binary:logistic,,,,,,0.8211316337653467,,,,,10.0,,,,,,1.5921883006955535,0.954313607074554,,,,logloss,,,,,
XGBClassifier,0.9219203060094672,0.9890234523039882,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05256341308812413,,,,,,,binary:logitraw,,,,,,0.7056447524176274,,,,,10.0,,,,,,0.9776270748196476,0.6875537668780076,,,,error,,,,,
XGBClassifier,0.9218707039406706,0.9998585451970654,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27357272004687233,,,,,,,binary:logistic,,,,,,0.3749561784032849,,,,,10.0,,,,,,1.9580485625209896,0.9269693511854664,,,,logloss,,,,,
XGBClassifier,0.921171829634277,0.9950938007233568,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05303720058260599,,,,,,,binary:logistic,,,,,,0.4427340660981625,,,,,2.0,,,,,,1.585891275937479,0.3008593230726117,,,,logloss,,,,,
XGBClassifier,0.9210686976710116,0.9999097927063462,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2879883917395745,,,,,,,binary:logistic,,,,,,0.3031366314198989,,,,,9.0,,,,,,1.784198290011501,0.9832899499750332,,,,error,,,,,
RandomForestClassifier,0.9209658841800984,1.0,,,,,,,,balanced,,,,,,,,,,,,,,,,50.0,log2,,,,,,,,,,0.9840553852298912,490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.920562512407152,0.9955709519244752,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08058748912393449,,,,,,,binary:logistic,,,,,,0.5679058865709348,,,,,5.0,,,,,,1.895197764650847,0.3486925070563107,,,,logloss,,,,,
RandomForestClassifier,0.9203044038356808,0.9999802016354618,,,,,,,,balanced_subsample,,,,,,,,,,,,,,,,40.0,log2,,,,,,,,,,0.984343144410731,485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.919911302796081,0.9914184440077832,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000305078585239,,,,,,,binary:logistic,,,,,,0.9602345603395128,,,,,3.0,,,,,,1.4856259878713547,0.3001776704457983,,,,error,,,,,
XGBClassifier,0.9198633859768132,0.989261722701877,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06584352695141871,,,,,,,binary:logistic,,,,,,0.6664964301262849,,,,,6.0,,,,,,1.0057722810383778,0.3967905368038786,,,,logloss,,,,,
XGBClassifier,0.9195146985606112,0.9900004591309738,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05183952373188324,,,,,,,binary:logistic,,,,,,0.3000651103329141,,,,,9.0,,,,,,1.984494004426936,0.526804129270326,,,,error,,,,,
RandomForestClassifier,0.918998640653845,0.999407614886247,,,,,,,,,,,,,,,,,,,,,,,,21.0,sqrt,,,,,,,,,,0.9715504816595456,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,0.9183459713778284,1.0,,,,,,,,balanced,,,,,,,,,,,,,,,,50.0,sqrt,,,,,,,,,,0.99,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.9178912326684692,0.9933133279617664,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06293141979746078,,,,,,,binary:logitraw,,,,,,0.3313922794512218,,,,,4.0,,,,,,1.8504113226967032,0.3248269084667112,,,,logloss,,,,,
XGBClassifier,0.9177567975269562,0.9997570586742844,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12675921852900746,,,,,,,binary:logistic,,,,,,0.3023353136354549,,,,,1.0,,,,,,1.649697685552875,0.3064031019514856,,,,error,,,,,
XGBClassifier,0.9176737558612182,0.9993649661304654,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21518621206684208,,,,,,,binary:logitraw,,,,,,0.3137181864820648,,,,,10.0,,,,,,0.5038150664381503,0.946543254427853,,,,error,,,,,
XGBClassifier,0.9169408979009488,0.9996901529410392,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13142464228687514,,,,,,,binary:logistic,,,,,,0.8369587524491023,,,,,1.0,,,,,,0.7463990460971739,0.3019081290509017,,,,error,,,,,
XGBClassifier,0.9163175944297064,0.9999497344471372,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28985371222334416,,,,,,,binary:logitraw,,,,,,0.3637075057136415,,,,,2.0,,,,,,0.7074886811610557,0.5677491429856629,,,,error,,,,,
RandomForestClassifier,0.9156787521616312,0.9997207793655394,,,,,,,,,,,,,,,,,,,,,,,,35.0,log2,,,,,,,,,,0.738106009304992,452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.9156682691133836,0.9993805712757048,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23317002505809323,,,,,,,binary:logistic,,,,,,0.4343470907699389,,,,,7.0,,,,,,0.5768848834415042,0.6223636469213607,,,,logloss,,,,,
RandomForestClassifier,0.9152599477493027,0.999940193546264,,,,,,,,balanced_subsample,,,,,,,,,,,,,,,,48.0,sqrt,,,,,,,,,,0.6273424017635116,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,0.9140859923120772,0.9991657616744004,,,,,,,,balanced_subsample,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,0.979489471219148,499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,0.9139795694678432,1.0,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,0.99,407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,0.9136078989635849,0.9999680731467298,,,,,,,,,,,,,,,,,,,,,,,,50.0,log2,,,,,,,,,,0.6453565726612814,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,0.9127462056673216,0.99849174148113,,,,,,,,balanced_subsample,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,0.6558569251306134,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,0.912559315475527,0.9978776737080904,,,,,,,,,,,,,,,,,,,,,,,,18.0,log2,,,,,,,,,,0.9873179944612264,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,0.9120116226484796,0.9991702070176444,,,,,,,,balanced_subsample,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,0.5084539479627472,498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.9115669556272472,0.9684858338190035,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07942910148993122,,,,,,,binary:logistic,,,,,,0.9857186974354768,,,,,9.0,,,,,,0.6012014231626822,0.3027890871883052,,,,logloss,,,,,
RandomForestClassifier,0.9095694439578894,0.994661368348307,,,,,,,,balanced,,,,,,,,,,,,,,,,50.0,sqrt,,,,,,,,,,0.2953372839575796,494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,0.9095520075966272,0.9975566270380904,,,,,,,,balanced_subsample,,,,,,,,,,,,,,,,18.0,sqrt,,,,,,,,,,0.6444781601268754,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,0.9095358185854096,0.9995283159075878,,,,,,,,balanced_subsample,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,0.5826492056981529,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,0.9092168154463336,0.999999469212747,,,,,,,,,,,,,,,,,,,,,,,,50.0,log2,,,,,,,,,,0.99,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.908911785281694,0.9999839702249582,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2774820144248134,,,,,,,binary:logistic,,,,,,0.9301834062600308,,,,,1.0,,,,,,0.6415561830632099,0.3174480204327514,,,,logloss,,,,,
XGBClassifier,0.905456653573269,0.9661352875758276,0.8400355476560765,0.8782402607021182,0.7339246119733925,0.7339246119733925,"SMOTED activites, clicks, activities*clicks, assessments, modules",,,,,,,,,,8.0,,111.0,,,,,,,60.0,,,,,,,,,,,,100.0,,,,,,,,,,,,,,0,,,,,,,,,0.05,,,,,,,binary:logistic,False,0.5,gbtree,1.0,1.0,0.5306706190835525,-1.0,gain,,0.0,10.0,,(),1.0,0.0,1.0,0.5,0.8244105075475573,exact,1.0,,logloss,,,,,111.0
RandomForestClassifier,0.9032717991670886,0.9736550249098458,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,0.17951198679688,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,0.8979473395350515,0.9410899928556036,,,,,,,,balanced_subsample,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,0.1553295410847142,496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.8966287362475831,0.9646105686997128,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,0.5306706190835525,,,,,10.0,,,,,,0.5,0.8244105075475573,,,,logloss,,,,,
XGBClassifier,0.8965746788187714,0.974765502131832,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,0.409027023425613,,,,,8.0,,,,,,0.5,0.8636333524814603,,,,error,,,,,
XGBClassifier,0.895660307188533,0.9636535680748302,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,0.5352647243980614,,,,,10.0,,,,,,0.5,0.8136108857561193,,,,logloss,,,,,
XGBClassifier,0.8953276790267967,0.9648072020483076,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,1.0,,,,,10.0,,,,,,0.5,0.8165756708262785,,,,logloss,,,,,
XGBClassifier,0.8953220551920166,0.9720735129429026,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,0.4206590273925048,,,,,10.0,,,,,,0.5,1.0,,,,error,,,,,
XGBClassifier,0.8951315270658312,0.973294489827334,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,0.476971608529895,,,,,10.0,,,,,,0.5,1.0,,,,logloss,,,,,
XGBClassifier,0.8950018204373925,0.9705046158079176,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,0.3,,,,,10.0,,,,,,0.5,1.0,,,,logloss,,,,,
XGBClassifier,0.8950018204373925,0.9705046158079176,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,0.3,,,,,10.0,,,,,,0.5,1.0,,,,error,,,,,
XGBClassifier,0.8950018204373925,0.9705046158079176,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,0.3,,,,,10.0,,,,,,0.5,1.0,,,,logloss,,,,,
XGBClassifier,0.8949441585270441,0.9908462818883712,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29199513745732303,,,,,,,binary:logistic,,,,,,0.5101962961463276,,,,,9.0,,,,,,1.3232373944710014,0.3030111229526988,,,,logloss,,,,,
XGBClassifier,0.8948481872382905,0.988830806932436,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06757977842224361,,,,,,,binary:logistic,,,,,,0.4774786066436401,,,,,9.0,,,,,,0.5664490775716668,0.982107186481533,,,,logloss,,,,,
XGBClassifier,0.8940856883426983,0.9807360348921128,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05256341308812413,,,,,,,binary:logistic,,,,,,0.7056447524176274,,,,,10.0,,,,,,0.9776270748196476,0.6875537668780076,,,,error,,,,,
XGBClassifier,0.8935820544423909,0.9747275540143924,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,1.0,,,,,10.0,,,,,,0.5,1.0,,,,error,,,,,
XGBClassifier,0.8935394440456397,0.9630700220552796,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05204440016972982,,,,,,,binary:logistic,,,,,,0.5036031349382037,,,,,9.0,,,,,,0.621697032691896,0.6084792355924535,,,,logloss,,,,,
XGBClassifier,0.8934295438308191,0.9785921027349344,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28692930206058376,,,,,,,binary:logistic,,,,,,0.7136609592647974,,,,,9.0,,,,,,0.504960149796446,0.3051191950736673,,,,logloss,,,,,
XGBClassifier,0.8933908103734489,0.9379060621890454,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,1.0,,,,,10.0,,,,,,0.5,0.4499586908418407,,,,error,,,,,
XGBClassifier,0.8933481240681764,0.9458033523249478,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,0.3,,,,,10.0,,,,,,0.5,0.5809258390687078,,,,logloss,,,,,
XGBClassifier,0.892671221352085,0.991565233222611,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2968343756702478,,,,,,,binary:logitraw,,,,,,0.3813032706414826,,,,,10.0,,,,,,1.6604866143980954,0.3049263200812621,,,,logloss,,,,,
XGBClassifier,0.8923321055869888,0.9940245425315294,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,0.3,,,,,10.0,,,,,,2.0,0.819848967811866,,,,logloss,,,,,
RandomForestClassifier,0.8921964056148799,0.9487504339185794,,,,,,,,balanced_subsample,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,0.1066177842565488,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.8916848578174768,0.9344047202698786,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,0.3,,,,,10.0,,,,,,0.5,0.4544935925780246,,,,error,,,,,
XGBClassifier,0.8915415769410593,0.9965991336763158,0.8413685847589425,0.9720782106354614,0.76184122748499,0.76184122748499,"SMOTED activites, clicks, activities*clicks, assessments, modules",,,,,,,,,,8.0,,111.0,,,,,,,6.0,,,,,,,,,,,,100.0,,,,,,,,,,,,,,0,,,,,,,,,0.300000012,,,,,,,binary:logistic,False,0.5,gbtree,1.0,1.0,1.0,-1.0,gain,,0.0,1.0,,(),1.0,0.0,1.0,1.0,1.0,exact,1.0,,logloss,,,,,
RandomForestClassifier,0.8911078439235145,0.9952825374892766,0.8331481892912687,0.9408235816916012,0.7371368568428421,0.7371368568428421,"SMOTED activites, clicks, activities*clicks, assessments, modules",,,balanced,,,,,,,,,111.0,,,0.0,False,0.0,gini,50.0,,,0.0,,1.0,2.0,0.0,,,True,0.4152062445886646,474.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,0.890941903212006,0.9621781836884832,,,,,,,,balanced_subsample,,,,,,,,,,,,,,,,8.0,sqrt,,,,,,,,,,0.99,491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.8909321861128368,0.92217909184316,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,1.0,,,,,10.0,,,,,,0.5,0.3,,,,logloss,,,,,
XGBClassifier,0.8909291243604691,0.999442564914164,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,0.4713328943405154,,,,,5.0,,,,,,1.938056872825108,1.0,,,,error,,,,,
XGBClassifier,0.8908735119281949,0.9630875666531986,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05702020701894747,,,,,,,binary:logistic,,,,,,0.7071444679101274,,,,,10.0,,,,,,1.7112295342635375,0.3327848683598657,,,,logloss,,,,,
XGBClassifier,0.8905441900643016,0.9987869619220546,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0856478065026347,,,,,,,binary:logistic,,,,,,0.9996554741686036,,,,,9.0,,,,,,1.2679875664790317,0.9918609336755392,,,,logloss,,,,,
RandomForestClassifier,0.8902454837966576,0.9621522547311724,,,,,,,,balanced,,,,,,,,,,,,,,,,35.0,sqrt,,,,,,,,,,0.108588587729094,488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.8898232358784,0.9988784234815048,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0884688724965974,,,,,,,binary:logistic,,,,,,0.3236566397661519,,,,,10.0,,,,,,1.8584618736477911,0.9308677290862636,,,,logloss,,,,,
XGBClassifier,0.8896068249258136,0.957002289461936,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05014361033153264,,,,,,,binary:logistic,,,,,,0.4203534488113277,,,,,10.0,,,,,,1.5423946017258534,0.3377971936073342,,,,error,,,,,
XGBClassifier,0.88934195902168,0.9999978015276516,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08070300663501224,,,,,,,binary:logistic,,,,,,0.3119944057254377,,,,,1.0,,,,,,0.7505554949120177,0.9178177646683782,,,,logloss,,,,,
RandomForestClassifier,0.8892622534891299,0.9209012077533156,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,0.4022540295750979,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.8889921050212595,0.9997670182130032,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,1.0,,,,,1.0,,,,,,0.5,0.6923516520900563,,,,logloss,,,,,
XGBClassifier,0.8887258745748841,0.9885240032501575,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05287692310702895,,,,,,,binary:logistic,,,,,,0.8992606477184573,,,,,2.0,,,,,,0.8671666051573222,0.3183774295611831,,,,logloss,,,,,
XGBClassifier,0.8884395344471168,0.9999307482091752,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12005674283903768,,,,,,,binary:logistic,,,,,,0.5471006990726284,,,,,3.0,,,,,,0.5518116988476744,0.951467410225305,,,,logloss,,,,,
XGBClassifier,0.8873757213394912,0.995851779146646,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05163374435540643,,,,,,,binary:logistic,,,,,,0.933228858603112,,,,,3.0,,,,,,1.9984198794330803,0.4119507616304065,,,,logloss,,,,,
XGBClassifier,0.8871921944312838,0.999601905661333,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13334102221321545,,,,,,,binary:logistic,,,,,,0.4435570317460943,,,,,7.0,,,,,,0.7606911017983471,0.887488841451059,,,,error,,,,,
XGBClassifier,0.8863309415228648,0.9899863875844308,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1050125920010386,,,,,,,binary:logistic,,,,,,0.9251930159269388,,,,,10.0,,,,,,1.1668248467930489,0.5110435907521668,,,,error,,,,,
RandomForestClassifier,0.8858239596304448,0.9187154656543493,,,,,,,,balanced_subsample,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,0.99,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.8852573428812407,1.0,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29999999999999993,,,,,,,binary:logistic,,,,,,1.0,,,,,1.0,,,,,,0.5,1.0,,,,error,,,,,
XGBClassifier,0.8846783997974126,1.0,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28090435539639635,,,,,,,binary:logistic,,,,,,0.3722632751455308,,,,,2.0,,,,,,0.6087347630112816,0.9951659930553508,,,,logloss,,,,,
XGBClassifier,0.8845234527377823,0.999813897251504,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20182784247999294,,,,,,,binary:logistic,,,,,,0.4607843146172299,,,,,10.0,,,,,,1.7142878031741164,0.9716553200872216,,,,error,,,,,
XGBClassifier,0.8826658091025654,0.999986426822892,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11629025827870534,,,,,,,binary:logistic,,,,,,0.9856115879518929,,,,,1.0,,,,,,1.1591356953106204,0.5486995203915338,,,,error,,,,,
XGBClassifier,0.8825950475112594,0.9999910627319748,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,1.0,,,,,1.0,,,,,,2.0,1.0,,,,logloss,,,,,
XGBClassifier,0.8824803092007408,0.9954195193535702,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050724515012943026,,,,,,,binary:logistic,,,,,,0.3057948873266324,,,,,1.0,,,,,,0.6466635970894963,0.3617661027713019,,,,error,,,,,
XGBClassifier,0.882180177499051,0.9894660105928516,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06293141979746078,,,,,,,binary:logistic,,,,,,0.3313922794512218,,,,,4.0,,,,,,1.8504113226967032,0.3248269084667112,,,,logloss,,,,,
